Event Date,Event Name,Grant,Site Type,Total Trees Planted,Tree Species,Location Type,Street Address,Street Suffix,City,State,Zip,Latitude,Longitude
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
,,,,,,,,,,,,37.2205341,-121.8690651
04/23/1994,Santa Teresa Park,HWY 85,"Park, County",,,"Park, County",13164 Kevin St.,Rd,Saratoga,CA,95119,,
01/22/1994,Erikson Academy Elementary,Hwy. 85,Public,,,Public School,4849 Pearl Ave,,San Jose,CA,95136,,
03/13/1994,Frost Elementary School,Hwy 85,Public School,5,"Pistacia chinensis 2
Prunus cerasifera 3
",Public School,530 Gettysburg Dr,,San Jose,CA,95130,37.24736035,-121.8368594
,,,,,,,,,,,,37.24736035,-121.8368594
,,,,,,,,,,,,37.24736035,-121.8368594
,,,,,,,,,,,,37.24736035,-121.8368594
,,,,,,,,,,,,37.24736035,-121.8368594
05/06/1994,Los Alamitos Elementary School,Hwy. 85,Public School,53,"Quercus agrifolia 3
Cedrus deodara 2
Lagerstroemia X fauriei 'Tuscorora' 5
Fraxinus oxycarpa 30
Pinus canariensis 12
Quercus lobata 1
",Public School,6130 Silberman,Dr,San Jose,CA,95120,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
,,,,,,,,,,,,37.2283561,-121.8802103
